D,rho,H,chave_kg,alvarez_kg,ratio,pct_diff
22,0.6,20.781122578316584,329.56774886999085,338.4389080234442,0.9737880044429206,-2.6211995557079426
22.25,0.6,20.909983746161632,338.9565893391002,347.63995800324625,0.9750219488173308,-2.497805118266916
22.5,0.6,21.03740334987065,348.4907719838123,356.9716927786878,0.9762420355270763,-2.3757964472923665
22.75,0.6,21.16339751615732,358.1704226892468,366.4340399300484,0.9774485546092302,-2.255144539076981
23,0.6,21.287982191326503,367.9956548960888,376.026917849959,0.9786417871364337,-2.1358212863566317
23.25,0.6,21.411173143292444,377.966569938008,385.7502360458912,0.979822005586648,-2.0177994413351996
23.5,0.6,21.532985963574433,388.0832573718242,395.60389543498565,0.9809894741938975,-1.9010525806102518
23.75,0.6,21.653436069270157,398.34579530057187,405.5877886314367,0.9821444492811253,-1.785555071887468
24,0.6,21.772538705006887,408.7542506896056,415.70180022660224,0.9832871795762985,-1.671282042370148
24.25,0.6,21.89030894487095,419.3086796758965,425.94580706204204,0.9844179065127437,-1.5582093487256254
24.5,0.6,22.00676169431552,430.009127870654,436.31967849566774,0.9855368645146351,-1.446313548536493
24.75,0.6,22.12191169204716,440.855630655415,446.82327666115447,0.9866442812685763,-1.3355718731423716
25,0.6,22.235773511891157,451.84821347172954,457.4564567208212,0.9877403779819982,-1.2259622018001792
25.25,0.6,22.34836156463608,462.9868921045777,468.2190671121098,0.9888253696292139,-1.1174630370786143
25.5,0.6,22.45969009985763,474.2716729596431,479.11094978784695,0.9898994651857849,-1.0100534814215134
25.75,0.6,22.569773207722164,485.7025533345689,490.1319404504324,0.9909628678518831,-0.9037132148116855
26,0.6,22.678624820769965,497.27952168431796,501.2818687801,0.9920157752652774,-0.79842247347226
26.25,0.6,22.7862587156786,509.00255788075776,512.5605586574133,0.9930583797044875,-0.6941620295512485
26.5,0.6,22.892688515006576,520.8716334665851,523.9678283801218,0.9940908682826792,-0.590913171732077
26.75,0.6,22.997927688917432,532.8867119037061,535.5034908745278,0.9951134231327825,-0.4886576867217496
27,0.6,23.101989556884597,545.047748816184,547.1673539014823,0.9961262215843383,-0.38737784156617217
27.25,0.6,23.20488728937714,557.3546922278613,558.9592202571581,0.9971294363324776,-0.28705636675223634
27.5,0.6,23.30663390952669,569.807482794767,570.8788879687213,0.9981232355994692,-0.18767644005307504
27.75,0.6,23.40724229477566,582.4060540324098,582.9261504850101,0.9991077832892423,-0.08922167107576762
28,0.6,23.506725178507118,595.1503325380645,595.1007968623592,1.0000832391352297,0.008323913522967352
28.25,0.6,23.60509515165633,608.0402382081468,607.4026119456848,1.0010497588418652,0.10497588418652004
28.5,0.6,23.702364664304323,621.0756844507779,619.8313765449245,1.0020074942201045,0.20074942201044887
28.75,0.6,23.798546027253636,634.2565783936357,632.3868676069676,1.0029565933172258,0.2956593317225753
29,0.6,23.893651413586404,647.5828210871841,645.0688583831666,1.0038972005412239,0.38972005412238886
29.25,0.6,23.987692860205037,661.0543077033747,657.8771185925392,1.0048294567800635,0.48294567800635235
29.5,0.6,24.080682269355655,674.6709277299105,670.8114145807634,1.0057534995160438,0.5753499516043759
29.75,0.6,24.17263141013447,688.432565160161,683.8715094750678,1.0066694629355069,0.6669462935506854
30,0.6,24.263551919977363,702.3390986788133,697.0571633351047,1.0075774780341356,0.7577478034135554
30.25,0.6,24.35345530613272,716.3904018433474,710.3681332999101,1.0084776727180338,0.8477672718033791
30.5,0.6,24.442352947117858,730.5863432614152,723.8041737310366,1.0093701719008032,0.9370171900803248
30.75,0.6,24.53025609415912,744.9267867642085,737.3650363519496,1.0102550975968023,1.025509759680232
31,0.6,24.61717587261591,759.4115915758922,751.0504703837771,1.0111325690107653,1.1132569010765314
31.25,0.6,24.7031232833887,774.0406124791839,764.8602226774921,1.0120027026239575,1.2002702623957529
31.5,0.6,24.78810920431139,788.8136999771554,778.7940378426214,1.0128656122770148,1.286561227701477
31.75,0.6,24.872144391528046,803.7307004513311,792.8516583725418,1.013721409249645,1.3721409249644934
32,0.6,24.955239480854225,818.791456316159,807.0328247664662,1.0145702023373033,1.4570202337303328
32.25,0.6,25.03740498912309,833.9958061699213,821.3372756481874,1.0154120979249894,1.5412097924989432
32.5,0.6,25.11865131551645,849.3435849421622,835.7647478816327,1.0162472000583262,1.624720005832625
32.75,0.6,25.198988742880946,864.8346240377002,850.3149766833562,1.017075610511975,1.7075610511974926
